Date,Austria,Belgium,Brazil,Canada,"China, People's Republic of",Czech Republic,Finland,France,Germany,India,Israel,Italy,Japan,"Korea, Republic of",Mexico,"Netherlands, The",Norway,"Poland, Republic of",Portugal,Russian Federation,Singapore,Spain,Sweden,Switzerland,United Kingdom,United States
1999-12-01,68.13866,74.36,1588.56,93.7,62.76488,70.4,77.54728,79.17,75.21527,44.53837494,66.19394904,73.92621,97.55067358,62.18,44.33552,73.7,74.1,81.90981,72.493,27.87329,,65.21005,259.94,92.462,73.1,77.18218527
2000-01-01,67.93642,74.5,1598.41,93.5,63.59388,71.6,77.56198,79.17,75.39225,44.53837494,65.82154989,74.05929,97.45243523,62.456,44.93083,73.55,74.5,83.37865,72.351,28.52274,,65.42455,257.82,92.5762,72.6,77.41148469
2000-02-01,68.39607,74.78,1600.49,94.1,64.42136,71.8,78.13963,79.27,75.48074,44.43504133,65.63535032,74.32545,97.15772021,62.647,45.32938,74,74.8,84.06988,72.186,28.81937,,65.51707,259.04,92.9241,72.8,77.87008353
2000-03-01,68.59831,75.07,1604.01,94.8,63.52662,71.8,78.60648,79.64,75.48074,44.84839008,65.35605096,74.52507,97.35419689,62.962,45.58068,74.66,74.9,84.8475,72.295,29.00382,,65.77681,260.28,92.8924,73,78.51212191
2000-04-01,68.54316,75.21,1610.75,94.5,63.15247,71.7,78.79639,79.64,75.48074,45.26173884,65.72845011,74.59161,97.55067358,62.709,45.84002,74.78,75.1,85.19312,73.138,29.26195,,66.05028,260.05,92.9736,73.3,78.5579818
2000-05-01,68.59831,75.43,1610.91,94.9,62.77492,71.8,79.03378,79.8,75.39225,45.4684156,66.19394904,74.85777,97.64891192,62.393,46.01138,75.02,75.2,85.79794,73.55,29.77404,,66.16007,261.29,92.9279,73.5,78.64970157
2000-06-01,69.13151,75.71,1614.62,95.5,62.20511,72.3,79.22369,80,75.74621,45.6750876,66.47324841,75.05739,97.45243523,62.709,46.28392,74.94,75.6,86.40276,73.918,30.53327,,66.36034,261.24,93.2738,73.6,79.06244053
2000-07-01,69.18667,75.86,1640.62,95.8,61.83311,72.7,78.97047,79.87,76.10016,45.98509797,66.65944798,75.19047,97.15772021,62.962,46.46447,74.75,75.3,87.00758,74.161,31.07982,,66.76342,260,93.3429,73.3,79.24588006
2000-08-01,69.18667,75.83,1662.11,95.7,62.20135,72.8,79.28699,80.02,75.92318,45.77842598,66.19394904,75.25701,97.45243523,63.277,46.71978,75.08,75.3,86.74837,74.19,31.3844,,67.0435,260.18,93.1014,73.3,79.24588006
2000-09-01,69.38892,76.36,1665.93,96.1,63.45223,72.8,79.95958,80.43,76.10016,45.88176436,65.82154989,75.39009,97.35419689,64.098,47.06107,75.99,76,87.6124,74.123,31.79868,,67.21683,262.02,93.568,73.8,79.65861902
2000-10-01,69.51762,76.17,1668.26,96.3,63.45204,73,80.0308,80.33,76.01167,46.3984515,66.19394904,75.65625,97.35419689,64.035,47.38514,76.12,76,88.30361,74.425,32.46963,,67.38863,262.59,93.4677,73.8,79.79619867
2000-11-01,69.77502,76.42,1673.6,96.6,63.64271,73.1,80.00706,80.51,76.10016,46.50178988,66.19394904,75.85587,97.05948187,63.656,47.79029,76.11,76.4,88.64922,75.013,32.96317,,67.55637,262.74,93.9133,74,79.84205856
2000-12-01,69.90372,76.22,1683.47,96.7,63.70636,73.2,79.88837,80.47,76.71958,46.08843635,66.19394904,75.92242,97.15772021,63.908,48.30767,75.66,76.3,88.82203,75.292,33.50376,,67.79019,262.48,93.8428,74,79.79619867
2001-01-01,69.97972,76.14,1693.07,96.3,64.357,74.6,79.83298,80.13,76.45412,45.98509797,65.72845011,76.25511,97.15772021,64.604,48.57548,76.31,76.9,89.51325,75.569,34.42847,,67.81409,261.7,93.7755,73.5,80.3006574
2001-02-01,70.25578,76.47,1700.86,96.8,64.42136,74.6,80.32358,80.35,76.89655,45.77842598,65.72845011,76.52128,96.86300518,64.919,48.54333,76.98,77.5,89.59966,75.662,35.21344,,68.03672,262.65,93.6487,73.7,80.62167659
2001-03-01,70.39381,76.64,1707.32,97.1,64.03484,74.7,80.75878,80.71,76.89655,45.98509797,65.82154989,76.58781,96.6665285,65.488,48.85089,77.7,77.7,90.03167,75.994,35.8684,,68.3234,264.59,93.7989,73.9,80.80511613
2001-04-01,70.73887,77.3,1717.22,97.8,64.1629,74.9,81.13069,81.1,77.25051,46.29511311,66.47324841,76.92052,96.86300518,65.74,49.09731,78.13,78,90.72289,76.423,36.51045,,68.6782,266.89,94.0582,74.4,81.12613532
2001-05-01,70.8769,77.79,1724.26,98.6,63.84209,75.4,81.66876,81.6,77.51598,46.60512349,66.75254777,77.12014,96.96124352,65.677,49.20997,78.39,78.4,91.75973,77.062,37.16034,,68.93794,268.7,94.5687,74.9,81.49301439
2001-06-01,71.01492,77.93,1733.23,98.7,63.07598,76.2,81.66085,81.65,77.60446,47.22514901,66.93874735,77.31976,96.6665285,65.866,49.32636,78.09,78.4,91.67332,77.263,37.76233,,69.17023,268.31,94.7479,75,81.63059405
2001-07-01,71.08394,77.87,1756.28,98.4,62.7606,77,81.05156,81.48,77.69296,47.84515546,67.21804671,77.3863,96.37181347,65.992,49.1982,77.98,77.4,91.41412,77.35,37.93226,,69.34,266.94,94.6045,74.5,81.40129462
2001-08-01,70.94592,77.86,1768.57,98.4,62.82336,76.9,81.30477,81.48,77.51598,48.15518013,67.40424628,77.3863,96.76476684,66.245,49.48969,78.27,77.3,91.15491,77.201,37.93606,,69.50774,267.6,94.0797,74.8,81.40129462
2001-09-01,71.15295,78.08,1773.52,98.6,63.38877,76.2,81.89033,81.63,77.51598,48.05187036,67.59044586,77.3863,96.56829016,66.182,49.95038,79.23,77.7,91.41412,77.174,38.16367,,69.4986,269.85,94.1996,75,81.7681737
2001-10-01,71.22197,77.96,1788.24,98.1,63.57894,76.2,81.70833,81.68,77.42749,48.36184736,67.59044586,77.51938,96.56829016,66.182,50.17614,79.15,77.7,91.75973,77.473,38.57966,,69.42591,269.12,94.0568,74.9,81.49301439
2001-11-01,71.15295,78.05,1800.94,97.2,63.45178,76.2,81.34434,81.46,77.25051,48.77522949,67.21804671,77.65246,96.07709845,65.804,50.36515,79.05,77.7,91.84613,77.988,39.10434,,69.37406,269.22,94.1828,74.9,81.35543474
2001-12-01,71.29098,77.88,1812.65,97.4,63.51524,76.2,81.31268,81.56,77.95842,48.46520481,67.12494692,77.719,95.9788601,65.93,50.4349,78.81,77.9,92.01894,78.141,39.73001,,69.62567,269.46,94.148,75,81.03441555
2002-01-01,71.49802,78.35,1822.08,97.6,63.70578,77.5,81.65294,81.94,78.04691,48.25853758,67.86974522,78.0517,95.78238342,66.308,50.90047,79.38,78,92.79655,78.266,40.95767,,69.53,268.8,94.2645,74.8,81.21785509
2002-02-01,71.56703,78.48,1828.64,98.2,64.40655,77.5,81.77954,82.04,78.31237,48.15518013,68.52144374,78.31786,95.29119171,66.624,50.86775,79.81,78.1,92.88296,78.131,41.43278,,69.59,269.45,94.2616,75,81.53887428
2002-03-01,71.70506,78.69,1839.61,98.9,63.56926,77.5,82.21475,82.4,78.48935,48.36184736,68.70764331,78.51749,95.48766839,67.003,51.12795,80.52,78.4,93.05576,78.468,41.88025,,70.165,271.76,94.2768,75.2,81.99747312
2002-04-01,71.98112,78.71,1854.33,99.5,63.37855,77.5,82.55501,82.71,78.40086,48.46520481,69.82484076,78.7171,95.78238342,67.382,51.40723,80.9,78.5,93.48778,79.105,42.36606,,71.118,272.94,95.0902,75.6,82.45607196
