DATE,EMRATIO,PAYEMS,LES1252881600Q,USFIRE,LNU02026620,U6RATENSA,RECPROUSM156N,CES0500000011,CCSA,OPHNFB,B4701C0A222NBEA,BKFTTLA641N,AWHAE,LBSSA36,LBSSA17,LNU02026619,BABATOTALNSAUS,GDPC1,GFDEGDQ188S,M2V,A939RX0Q048SBEA,GDPPOT,CP,M1V,NETEXP,DPCERD3Q086SBEA,PCDG,UMCSENT,MICH,CSCICP03USM665S,BSCICP03USM665S,INDPRO,IPMAN,DGORDER,NEWORDER,AMTMNO,ADXTNO,ATCGNO,A33SNO,A36SNO,ADEFNO,AMNMNO,A36ZNO,AODGNO,PPIACO
2004-11-01,62.5,132504.0,,8117.0,5.4,9.1,0.08,,,,,,,62.9,66.5,7648.0,176104.0,,,,,,,,,,,92.8,2.8,100.9591,100.8982,94.8015,96.5251,192545.0,55318.0,373177.0,134122.0,68698.0,24024.0,58423.0,7674.0,180632.0,2536.0,36048.0,151.4
2004-11-06,,,,,,,,,2765000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2004-11-13,,,,,,,,,2707000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2004-11-20,,,,,,,,,2705000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2004-11-27,,,,,,,,,2761000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2004-12-01,62.4,132629.0,,8133.0,5.6,9.1,0.04,,,,,,,62.8,66.6,7834.0,190986.0,,,,,,,,,,,97.1,3.0,101.0947,100.8997,95.5415,97.308,193578.0,56631.0,373419.0,136981.0,67288.0,25685.0,56597.0,6971.0,179841.0,3451.0,36830.0,150.2
2004-12-04,,,,,,,,,2725000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2004-12-11,,,,,,,,,2692000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2004-12-18,,,,,,,,,2688000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2004-12-25,,,,,,,,,2771000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2005-01-01,62.4,132781.0,336.0,8143.0,5.2,10.2,0.08,,2672000.0,84.324,230400.0,0.0,,62.8,66.6,7225.0,177217.0,15844.727,60.91302,1.983,53719.0,15740.36208,1266.416,9.321,-696.655,81.131,1109.964,95.5,2.9,101.08,100.7508,95.8785,97.9271,194875.0,57884.0,378937.0,137331.0,68340.0,25472.0,57544.0,6483.0,184062.0,1732.0,36404.0,150.9
2005-01-08,,,,,,,,,2720000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2005-01-15,,,,,,,,,2790000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2005-01-22,,,,,,,,,2706000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2005-01-29,,,,,,,,,2731000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2005-02-01,62.4,133033.0,,8146.0,5.5,9.9,0.08,,,,,,,62.8,66.6,7667.0,221053.0,,,,,,,,,,,94.1,2.9,100.9246,100.5531,96.5709,98.8304,196475.0,57580.0,381880.0,139138.0,69153.0,25853.0,57337.0,6846.0,185405.0,1311.0,36979.0,151.6
2005-02-05,,,,,,,,,2710000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2005-02-12,,,,,,,,,2666000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2005-02-19,,,,,,,,,2667000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2005-02-26,,,,,,,,,2703000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2005-03-01,62.4,133152.0,,8139.0,5.5,9.4,0.2,,,,,,,62.8,66.6,7621.0,271787.0,,,,,,,,,,,92.6,3.2,100.6953,100.3384,96.4345,98.3466,186608.0,56576.0,374642.0,136810.0,64756.0,24669.0,49798.0,5859.0,188034.0,1690.0,37027.0,153.7
2005-03-05,,,,,,,,,2658000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2005-03-12,,,,,,,,,2681000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2005-03-19,,,,,,,,,2616000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2005-03-26,,,,,,,,,2683000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2005-04-01,62.7,133519.0,334.0,8150.0,5.3,8.7,0.14,,,84.252,,,,62.8,66.7,7437.0,210355.0,15922.782,60.64153,1.993,53868.0,15833.98635,1292.727,9.445,-707.21,81.644,1137.918,87.7,3.3,100.5071,100.112,96.6347,98.7663,194847.0,58138.0,385450.0,137264.0,67707.0,25870.0,57583.0,6747.0,190603.0,2286.0,37296.0,155.0
2005-04-02,,,,,,,,,2653000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2005-04-09,,,,,,,,,2626000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2005-04-16,,,,,,,,,2559000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2005-04-23,,,,,,,,,2588000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2005-04-30,,,,,,,,,2596000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2005-05-01,62.8,133689.0,,8154.0,5.2,8.6,0.14,,,,,,,62.9,66.7,7348.0,202987.0,,,,,,,,,,,86.9,3.2,100.575,100.0,96.7251,99.0189,206623.0,57105.0,395916.0,137358.0,80675.0,25263.0,69265.0,7633.0,189293.0,1816.0,37404.0,154.3
2005-05-07,,,,,,,,,2605000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2005-05-14,,,,,,,,,2568000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2005-05-21,,,,,,,,,2595000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2005-05-28,,,,,,,,,2577000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2005-06-01,62.7,133947.0,,8172.0,5.4,9.3,0.18,,,,,,,63.0,66.7,7667.0,236670.0,,,,,,,,,,,96.0,3.2,100.8249,100.1444,97.1483,99.2871,210020.0,58903.0,400506.0,141241.0,79152.0,26630.0,68779.0,8951.0,190486.0,1349.0,37212.0,154.3
2005-06-04,,,,,,,,,2630000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2005-06-11,,,,,,,,,2599000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2005-06-18,,,,,,,,,2602000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2005-06-25,,,,,,,,,2569000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2005-07-01,62.8,134300.0,331.0,8191.0,5.3,9.1,0.78,,,84.826,,,,63.1,66.8,7595.0,174027.0,16047.587,60.35856,1.998,54153.0,15925.48397,1339.203,9.557,-750.961,82.526,1151.814,96.5,3.0,100.7314,100.3713,96.8397,98.9358,194475.0,57606.0,386590.0,135974.0,70801.0,25352.0,58501.0,6365.0,192115.0,2208.0,37308.0,156.3
2005-07-02,,,,,,,,,2612000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2005-07-09,,,,,,,,,2583000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2005-07-16,,,,,,,,,2619000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2005-07-23,,,,,,,,,2592000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2005-07-30,,,,,,,,,2570000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2005-08-01,62.9,134503.0,,8215.0,5.0,8.8,1.88,,,,,,,63.2,66.8,7223.0,182428.0,,,,,,,,,,,89.1,3.1,100.1407,100.534,97.1584,99.4776,204839.0,60352.0,401287.0,143073.0,75142.0,26171.0,61766.0,6222.0,196448.0,1376.0,38146.0,157.6
2005-08-06,,,,,,,,,2584000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2005-08-13,,,,,,,,,2573000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2005-08-20,,,,,,,,,2598000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2005-08-27,,,,,,,,,2568000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2005-09-01,62.8,134554.0,,8224.0,5.4,8.5,9.56,,,,,,,63.3,66.8,7705.0,196532.0,,,,,,,,,,,76.9,4.3,99.42278,100.8182,95.2764,98.3331,203997.0,58344.0,404154.0,143841.0,69505.0,26137.0,60156.0,6790.0,200157.0,1974.0,38177.0,162.2
2005-09-03,,,,,,,,,2575000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2005-09-10,,,,,,,,,2651000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2005-09-17,,,,,,,,,2787000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2005-09-24,,,,,,,,,2853000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2005-10-01,62.8,134643.0,332.0,8259.0,5.5,8.1,0.22,,2841000.0,84.831,,,,63.2,66.7,7813.0,200455.0,16136.734,61.32008,1.999,54317.0,16014.16822,1407.538,9.686,-804.786,83.184,1114.745,74.2,4.6,99.18978,100.9365,96.4411,99.8225,209901.0,59751.0,409487.0,145723.0,75145.0,26756.0,64178.0,7851.0,199586.0,1686.0,39179.0,166.2
2005-10-08,,,,,,,,,2831000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2005-10-15,,,,,,,,,2821000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2005-10-22,,,,,,,,,2772000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2005-10-29,,,,,,,,,2752000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
